Incident_No,Force_Type,Incident_Date,Race,Gender,Age,Precinct,Neighborhood,Is911Call
21-271449,Level 1 - Use of Force,2021/11/25 20:50:58+00,1.0,1.0,39.0,4,Near - North,0.0
21-271575,Level 2 - Use of Force,2021/11/26 01:30:10+00,1.0,0.0,24.0,4,Hawthorne,1.0
21-271575,Level 2 - Use of Force,2021/11/26 01:30:10+00,1.0,0.0,24.0,4,Hawthorne,1.0
21-271721,Level 1 - Use of Force,2021/11/26 10:33:20+00,2.0,0.0,35.0,3,East Phillips,1.0
21-271721,Level 1 - Use of Force,2021/11/26 10:33:20+00,2.0,0.0,35.0,3,East Phillips,1.0
21-271721,Level 1 - Use of Force,2021/11/26 10:33:20+00,2.0,0.0,35.0,3,East Phillips,1.0
21-271721,Level 1 - Use of Force,2021/11/26 10:33:20+00,2.0,0.0,35.0,3,East Phillips,1.0
21-271721,Level 1 - Use of Force,2021/11/26 10:33:20+00,2.0,0.0,35.0,3,East Phillips,1.0
21-271721,Level 1 - Use of Force,2021/11/26 10:33:20+00,2.0,0.0,35.0,3,East Phillips,1.0
21-271721,Level 1 - Use of Force,2021/11/26 10:33:20+00,2.0,0.0,35.0,3,East Phillips,1.0
